id,cp_code,name,address,address_postal,zone,longitude,latitude,x_coord,y_coord,rates,start_time,end_time,data_provider_id,remarks,capacity_car,capacity_mcycle,capacity_heavy,is_active,height_limit,height_advisory,special_advisory_info,carpark_operator_id,payment_types,carpark_types,location_point,version,created_at,updated_at,rate_id_car,rate_id_mcycle,rate_id_heavy,grace_period
30651,NULL,Farrer Park Hospital,1 Farrer Park Station Road,NULL,NULL,103.8520286,1.3130812,30081.82,32820.15,NULL,0,2359,1,NULL,0,0,0,TRUE,2.3,NULL,NULL,5,NULL,NULL,0101000020E61000006D10F7A287F6594004E1AF6E6102F53F,20221208,58:13.8,58:13.8,30651,NULL,NULL,0
30650,NULL,Highland Centre,22 Yio Chu Kang Road,NULL,NULL,103.8772545,1.3553912,32889.47,37498.54,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,6,NULL,NULL,0101000020E610000035F10EF024F859404194D4AEAEAFF53F,20221208,58:13.8,58:13.8,30650,NULL,NULL,0
30649,NULL,888 Plaza,888 Woodlands Drive 50,NULL,NULL,103.7953161,1.4371186,23769.72,46535.47,NULL,0,2359,3,NULL,0,0,0,TRUE,2.15,NULL,NULL,7,NULL,NULL,0101000020E6100000DDDE7F75E6F25940A992B71270FEF63F,20221208,58:13.8,58:13.8,30649,NULL,NULL,0
30648,NULL,Thomson Medical Centre,339 Thomson Road,NULL,NULL,103.8414484,1.3253641,28904.25,34178.32,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,8,NULL,NULL,0101000020E610000061D1634ADAF55940F9AD8CFCB034F53F,20221208,58:13.8,58:13.8,30648,NULL,NULL,0
30647,NULL,Goldbell Towers,47 Scotts Road,NULL,NULL,103.8370774,1.3123595,28417.75,32740.35,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,9,NULL,NULL,0101000020E6100000204E16AD92F55940C284D1AC6CFFF43F,20221208,58:13.8,58:13.8,30647,NULL,NULL,0
30646,NULL,Chinatown Complex,335 Smith Street,NULL,NULL,103.8431776,1.2822352,29096.71,29409.39,NULL,0,2359,2,NULL,0,0,0,TRUE,1.9,NULL,NULL,10,NULL,NULL,0101000020E6100000112E2E9FF6F55940F57A9C0E0984F43F,20221208,58:13.8,58:13.8,30646,NULL,NULL,0
30645,NULL,West Coast Recreation Centre,12 West Coast Walk,NULL,NULL,103.7619325,1.3095566,20054.13,32430.43,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,11,NULL,NULL,0101000020E61000009C508880C3F05940DE2C149FF1F3F43F,20221208,58:13.7,58:13.7,30645,NULL,NULL,0
30644,NULL,The Galen,61 Science Park Road,NULL,NULL,103.7840873,1.2865523,22519.96,29886.75,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,12,NULL,NULL,0101000020E61000005FAD7F7C2EF259404F7F51DDB795F43F,20221208,58:13.7,58:13.7,30644,NULL,NULL,0
30643,NULL,Temasek Club,131 Rifle Range Road,NULL,NULL,103.7807642,1.3463924,22150.09,36503.51,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,13,NULL,NULL,0101000020E6100000CE38680AF8F15940C453D9C1D28AF53F,20221208,58:13.7,58:13.7,30643,NULL,NULL,0
30642,NULL,The Rutherford,89 Science Park Drive,NULL,NULL,103.7913371,1.2879795,23326.86,30044.56,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,14,NULL,NULL,0101000020E610000023275D44A5F25940E6B16664909BF43F,20221208,58:13.7,58:13.7,30642,NULL,NULL,0
30641,NULL,Pantech 21,200 Pandan Loop,NULL,NULL,103.7518821,1.3112295,18935.52,32615.4,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,15,NULL,NULL,0101000020E6100000A97C19D61EF0594092CEC0C8CBFAF43F,20221208,58:13.7,58:13.7,30641,NULL,NULL,0
30640,NULL,Guthrie House,1 Fifth Avenue,NULL,NULL,103.7957003,1.3308739,23812.48,34787.56,NULL,0,2359,4,NULL,0,0,0,TRUE,2.1,NULL,NULL,16,NULL,NULL,0101000020E6100000B67AF3C0ECF259407F99396E424BF53F,20221208,58:13.7,58:13.7,30640,NULL,NULL,0
30639,NULL,German Centre,25 International Business Park,NULL,NULL,103.7466676,1.3248713,18355.14,34123.83,NULL,0,2359,1,NULL,0,0,0,TRUE,2.1,NULL,NULL,1,NULL,NULL,0101000020E6100000E6BEE666C9EF5940498B8E3FAC32F53F,20221208,58:13.7,58:13.7,30639,NULL,NULL,0
30638,NULL,Creative Technologies,31 International Business Park,NULL,NULL,103.7460398,1.3288525,18285.27,34564.05,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,2,NULL,NULL,0101000020E6100000ECA0B71DBFEF59405053CBD6FA42F53F,20221208,58:13.7,58:13.7,30638,NULL,NULL,0
30637,NULL,Citilink Warehouse Complex,102E Pasir Panjang Road,NULL,NULL,103.7953692,1.2761409,23775.63,28735.52,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,3,NULL,NULL,0101000020E6100000B98F3754E7F25940796869B8126BF43F,20221208,58:13.7,58:13.7,30637,NULL,NULL,0
30636,NULL,Cambridge Industrial Trust,2 Jalan Kilang Barat,NULL,NULL,103.8080032,1.2857041,25181.8,29792.96,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,4,NULL,NULL,0101000020E61000000EC40D53B6F359406F545D763E92F43F,20221208,58:13.7,58:13.7,30636,NULL,NULL,0
30635,NULL,Apex Henderson,201 Henserson Road,NULL,NULL,103.8203498,1.2826997,26555.97,29460.75,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,5,NULL,NULL,0101000020E6100000EE91729C80F45940976CE11EF085F43F,20221208,58:13.7,58:13.7,30635,NULL,NULL,0
30634,NULL,991 Alexandra Road,991 Alexandra Road,NULL,NULL,103.8691847,1.3288509,31991.3,34563.87,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,6,NULL,NULL,0101000020E6100000C02BDDB8A0F75940A4294C29F942F53F,20221208,58:13.7,58:13.7,30634,NULL,NULL,0
30633,NULL,The Punggol Settlement,3 Punggol Point Road,NULL,NULL,103.9120024,1.4208897,36756.91,44740.97,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,7,EPS,NULL,0101000020E6100000E877503F5EFA594070928BD6F6BBF63F,20221208,58:13.6,58:13.6,30633,NULL,NULL,0
30632,NULL,ESR BizPark @ Chai Chee,750A Chai Chee Road,NULL,NULL,103.9214563,1.3232486,37809.13,33944.4,NULL,0,2359,4,NULL,0,0,0,TRUE,2,NULL,NULL,8,NULL,NULL,0101000020E61000005D4CD823F9FA594003A557B9062CF53F,20221208,58:13.6,58:13.6,30632,NULL,NULL,0
30631,NULL,Tat Ann Building,40 Jalan Pemimpin,NULL,NULL,103.8422466,1.3486607,28993.09,36754.32,NULL,0,2359,1,NULL,0,0,0,TRUE,NULL,NULL,NULL,9,NULL,NULL,0101000020E6100000B38A485EE7F559405068FE3D1D94F53F,20221208,58:13.6,58:13.6,30631,NULL,NULL,0
30630,NULL,Singapore Cruise Centre (Tanah Merah),50 Tanah Merah Ferry Road,NULL,NULL,103.988568,1.3139655,45278.66,32917.94,NULL,0,2359,2,NULL,0,0,0,TRUE,NULL,NULL,NULL,10,NULL,NULL,0101000020E6100000D177B7B244FF5940172829B00006F53F,20221208,58:13.6,58:13.6,30630,NULL,NULL,0
30629,NULL,Singapore Cruise Centre (Pasir Panjang),55 Pasir Panjang Road,NULL,NULL,103.7961293,1.2699589,23860.23,28051.95,NULL,0,2359,3,NULL,0,0,0,TRUE,2.1,NULL,NULL,11,NULL,NULL,0101000020E6100000CBB84EC8F3F25940E5396C6CC051F43F,20221208,58:13.6,58:13.6,30629,NULL,NULL,0
30628,NULL,Tampines Mart,5 Tampines Street 32,NULL,NULL,103.9600422,1.3543649,42103.74,37385.06,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,12,NULL,NULL,0101000020E6100000EAF1D65471FD5940DF9A85877AABF53F,20221208,58:13.6,58:13.6,30628,NULL,NULL,0
30627,NULL,Prosper House,101 Geylang Loring 23,NULL,NULL,103.8808915,1.3175919,33294.26,33318.92,NULL,0,2359,1,NULL,0,0,0,TRUE,1.9,NULL,NULL,13,NULL,NULL,0101000020E6100000C3F4BD8660F8594090977F3EDB14F53F,20221208,58:13.6,58:13.6,30627,NULL,NULL,0
30626,NULL,Parkway East Hospital,321 Joo Chiat Place,NULL,NULL,103.908922,1.315097,36414.06,33043.05,NULL,0,2359,2,NULL,0,0,0,TRUE,2.5,NULL,NULL,14,NULL,NULL,0101000020E61000005B272EC72BFA59405915E126A30AF53F,20221208,58:13.6,58:13.6,30626,NULL,NULL,0
30625,NULL,LHK 2 Building,76 Playfair Road,NULL,NULL,103.8865796,1.33648,33927.35,35407.45,NULL,0,2359,3,NULL,0,0,0,TRUE,NULL,NULL,NULL,15,NULL,NULL,0101000020E610000040D35CB8BDF8594018213CDA3862F53F,20221208,58:13.6,58:13.6,30625,NULL,NULL,0
30624,NULL,Kopitiam Square,10 Seng Kang Square,NULL,NULL,103.8935929,1.3915051,34707.93,41491.8,NULL,0,2359,4,NULL,0,0,0,TRUE,NULL,NULL,NULL,16,NULL,NULL,0101000020E6100000055C46A030F95940B1790BDA9A43F63F,20221208,58:13.6,58:13.6,30624,NULL,NULL,0
